learner_id,tutoring_type,concept_id,prior_level,question_number,choice
learner_2,no_tutoring,programming-mathematical-formulas,not_started,1,B
learner_2,no_tutoring,variables-and-naming-rules,confused,2,C
learner_2,no_tutoring,code-comments-in-python,not_started,3,C
learner_2,no_tutoring,formatted-output-in-python,confused,4,B
learner_2,no_tutoring,arithmetic-expression-evaluation,confused,5,B
learner_2,no_tutoring,standard-mathematical-functions,not_started,6,C
learner_2,no_tutoring,defining-and-using-functions,not_started,7,E
learner_2,no_tutoring,local-and-global-scope,not_started,8,B
learner_2,no_tutoring,keyword-arguments-and-defaults,confused,9,E
learner_2,no_tutoring,boolean-expressions,confused,10,E
learner_2,no_tutoring,loops-in-python,mastered,11,A
learner_2,no_tutoring,the-while-loop,not_started,12,C
learner_2,no_tutoring,lists-in-python,confused,13,A
learner_2,no_tutoring,for-loops-and-list-iteration,not_started,14,B
learner_2,no_tutoring,list-comprehensions,confused,15,D
learner_2,vanilla,programming-mathematical-formulas,not_started,1,A
learner_2,vanilla,variables-and-naming-rules,confused,2,A
learner_2,vanilla,code-comments-in-python,not_started,3,A
learner_2,vanilla,formatted-output-in-python,confused,4,A
learner_2,vanilla,arithmetic-expression-evaluation,confused,5,B
learner_2,vanilla,standard-mathematical-functions,not_started,6,A
learner_2,vanilla,defining-and-using-functions,not_started,7,E
learner_2,vanilla,local-and-global-scope,not_started,8,A
learner_2,vanilla,keyword-arguments-and-defaults,confused,9,A
learner_2,vanilla,boolean-expressions,confused,10,B
learner_2,vanilla,loops-in-python,mastered,11,B
learner_2,vanilla,the-while-loop,not_started,12,A
learner_2,vanilla,lists-in-python,confused,13,C
learner_2,vanilla,for-loops-and-list-iteration,not_started,14,A
learner_2,vanilla,list-comprehensions,confused,15,A
learner_2,atlas,programming-mathematical-formulas,not_started,1,A
learner_2,atlas,variables-and-naming-rules,confused,2,A
learner_2,atlas,code-comments-in-python,not_started,3,A
learner_2,atlas,formatted-output-in-python,confused,4,A
learner_2,atlas,arithmetic-expression-evaluation,confused,5,A
learner_2,atlas,standard-mathematical-functions,not_started,6,A
learner_2,atlas,defining-and-using-functions,not_started,7,A
learner_2,atlas,local-and-global-scope,not_started,8,A
learner_2,atlas,keyword-arguments-and-defaults,confused,9,A
learner_2,atlas,boolean-expressions,confused,10,A
learner_2,atlas,loops-in-python,mastered,11,A
learner_2,atlas,the-while-loop,not_started,12,C
learner_2,atlas,lists-in-python,confused,13,E
learner_2,atlas,for-loops-and-list-iteration,not_started,14,C
learner_2,atlas,list-comprehensions,confused,15,A
