learner_id,tutoring_type,concept_id,prior_level,question_number,choice
learner_3,no_tutoring,programming-mathematical-formulas,not_started,1,B
learner_3,no_tutoring,variables-and-naming-rules,not_started,2,C
learner_3,no_tutoring,code-comments-in-python,confused,3,B
learner_3,no_tutoring,formatted-output-in-python,confused,4,E
learner_3,no_tutoring,arithmetic-expression-evaluation,not_started,5,B
learner_3,no_tutoring,standard-mathematical-functions,confused,6,B
learner_3,no_tutoring,defining-and-using-functions,confused,7,D
learner_3,no_tutoring,local-and-global-scope,mastered,8,A
learner_3,no_tutoring,keyword-arguments-and-defaults,not_started,9,B
learner_3,no_tutoring,boolean-expressions,confused,10,C
learner_3,no_tutoring,loops-in-python,confused,11,B
learner_3,no_tutoring,the-while-loop,not_started,12,B
learner_3,no_tutoring,lists-in-python,confused,13,A
learner_3,no_tutoring,for-loops-and-list-iteration,not_started,14,B
learner_3,no_tutoring,list-comprehensions,not_started,15,B
learner_3,vanilla,programming-mathematical-formulas,not_started,1,A
learner_3,vanilla,variables-and-naming-rules,not_started,2,A
learner_3,vanilla,code-comments-in-python,confused,3,A
learner_3,vanilla,formatted-output-in-python,confused,4,E
learner_3,vanilla,arithmetic-expression-evaluation,not_started,5,A
learner_3,vanilla,standard-mathematical-functions,confused,6,A
learner_3,vanilla,defining-and-using-functions,confused,7,B
learner_3,vanilla,local-and-global-scope,mastered,8,A
learner_3,vanilla,keyword-arguments-and-defaults,not_started,9,A
learner_3,vanilla,boolean-expressions,confused,10,B
learner_3,vanilla,loops-in-python,confused,11,A
learner_3,vanilla,the-while-loop,not_started,12,C
learner_3,vanilla,lists-in-python,confused,13,A
learner_3,vanilla,for-loops-and-list-iteration,not_started,14,A
learner_3,vanilla,list-comprehensions,not_started,15,A
learner_3,atlas,programming-mathematical-formulas,not_started,1,D
learner_3,atlas,variables-and-naming-rules,not_started,2,A
learner_3,atlas,code-comments-in-python,confused,3,A
learner_3,atlas,formatted-output-in-python,confused,4,A
learner_3,atlas,arithmetic-expression-evaluation,not_started,5,A
learner_3,atlas,standard-mathematical-functions,confused,6,A
learner_3,atlas,defining-and-using-functions,confused,7,A
learner_3,atlas,local-and-global-scope,mastered,8,A
learner_3,atlas,keyword-arguments-and-defaults,not_started,9,A
learner_3,atlas,boolean-expressions,confused,10,A
learner_3,atlas,loops-in-python,confused,11,B
learner_3,atlas,the-while-loop,not_started,12,A
learner_3,atlas,lists-in-python,confused,13,A
learner_3,atlas,for-loops-and-list-iteration,not_started,14,A
learner_3,atlas,list-comprehensions,not_started,15,A
