learner_id,tutoring_type,concept_id,prior_level,question_number,choice
learner_9,no_tutoring,programming-mathematical-formulas,mastered,1,B
learner_9,no_tutoring,variables-and-naming-rules,mastered,2,A
learner_9,no_tutoring,code-comments-in-python,not_started,3,B
learner_9,no_tutoring,formatted-output-in-python,not_started,4,B
learner_9,no_tutoring,arithmetic-expression-evaluation,mastered,5,B
learner_9,no_tutoring,standard-mathematical-functions,not_started,6,A
learner_9,no_tutoring,defining-and-using-functions,mastered,7,A
learner_9,no_tutoring,local-and-global-scope,not_started,8,B
learner_9,no_tutoring,keyword-arguments-and-defaults,mastered,9,A
learner_9,no_tutoring,boolean-expressions,not_started,10,E
learner_9,no_tutoring,loops-in-python,mastered,11,B
learner_9,no_tutoring,the-while-loop,not_started,12,D
learner_9,no_tutoring,lists-in-python,mastered,13,A
learner_9,no_tutoring,for-loops-and-list-iteration,not_started,14,C
learner_9,no_tutoring,list-comprehensions,confused,15,D
learner_9,vanilla,programming-mathematical-formulas,mastered,1,A
learner_9,vanilla,variables-and-naming-rules,mastered,2,A
learner_9,vanilla,code-comments-in-python,not_started,3,A
learner_9,vanilla,formatted-output-in-python,not_started,4,E
learner_9,vanilla,arithmetic-expression-evaluation,mastered,5,A
learner_9,vanilla,standard-mathematical-functions,not_started,6,A
learner_9,vanilla,defining-and-using-functions,mastered,7,A
learner_9,vanilla,local-and-global-scope,not_started,8,A
learner_9,vanilla,keyword-arguments-and-defaults,mastered,9,A
learner_9,vanilla,boolean-expressions,not_started,10,A
learner_9,vanilla,loops-in-python,mastered,11,B
learner_9,vanilla,the-while-loop,not_started,12,A
learner_9,vanilla,lists-in-python,mastered,13,A
learner_9,vanilla,for-loops-and-list-iteration,not_started,14,A
learner_9,vanilla,list-comprehensions,confused,15,B
learner_9,atlas,programming-mathematical-formulas,mastered,1,A
learner_9,atlas,variables-and-naming-rules,mastered,2,A
learner_9,atlas,code-comments-in-python,not_started,3,A
learner_9,atlas,formatted-output-in-python,not_started,4,A
learner_9,atlas,arithmetic-expression-evaluation,mastered,5,A
learner_9,atlas,standard-mathematical-functions,not_started,6,A
learner_9,atlas,defining-and-using-functions,mastered,7,A
learner_9,atlas,local-and-global-scope,not_started,8,A
learner_9,atlas,keyword-arguments-and-defaults,mastered,9,A
learner_9,atlas,boolean-expressions,not_started,10,A
learner_9,atlas,loops-in-python,mastered,11,A
learner_9,atlas,the-while-loop,not_started,12,A
learner_9,atlas,lists-in-python,mastered,13,A
learner_9,atlas,for-loops-and-list-iteration,not_started,14,A
learner_9,atlas,list-comprehensions,confused,15,A
