learner_id,tutoring_type,concept_id,prior_level,question_number,choice
learner_6,no_tutoring,programming-mathematical-formulas,confused,1,D
learner_6,no_tutoring,variables-and-naming-rules,confused,2,C
learner_6,no_tutoring,code-comments-in-python,mastered,3,A
learner_6,no_tutoring,formatted-output-in-python,not_started,4,B
learner_6,no_tutoring,arithmetic-expression-evaluation,not_started,5,B
learner_6,no_tutoring,standard-mathematical-functions,not_started,6,A
learner_6,no_tutoring,defining-and-using-functions,confused,7,B
learner_6,no_tutoring,local-and-global-scope,mastered,8,A
learner_6,no_tutoring,keyword-arguments-and-defaults,not_started,9,B
learner_6,no_tutoring,boolean-expressions,not_started,10,B
learner_6,no_tutoring,loops-in-python,mastered,11,B
learner_6,no_tutoring,the-while-loop,not_started,12,C
learner_6,no_tutoring,lists-in-python,mastered,13,E
learner_6,no_tutoring,for-loops-and-list-iteration,confused,14,C
learner_6,no_tutoring,list-comprehensions,not_started,15,D
learner_6,vanilla,programming-mathematical-formulas,confused,1,A
learner_6,vanilla,variables-and-naming-rules,confused,2,A
learner_6,vanilla,code-comments-in-python,mastered,3,A
learner_6,vanilla,formatted-output-in-python,not_started,4,A
learner_6,vanilla,arithmetic-expression-evaluation,not_started,5,A
learner_6,vanilla,standard-mathematical-functions,not_started,6,A
learner_6,vanilla,defining-and-using-functions,confused,7,A
learner_6,vanilla,local-and-global-scope,mastered,8,A
learner_6,vanilla,keyword-arguments-and-defaults,not_started,9,A
learner_6,vanilla,boolean-expressions,not_started,10,A
learner_6,vanilla,loops-in-python,mastered,11,A
learner_6,vanilla,the-while-loop,not_started,12,A
learner_6,vanilla,lists-in-python,mastered,13,A
learner_6,vanilla,for-loops-and-list-iteration,confused,14,C
learner_6,vanilla,list-comprehensions,not_started,15,A
learner_6,atlas,programming-mathematical-formulas,confused,1,A
learner_6,atlas,variables-and-naming-rules,confused,2,A
learner_6,atlas,code-comments-in-python,mastered,3,A
learner_6,atlas,formatted-output-in-python,not_started,4,A
learner_6,atlas,arithmetic-expression-evaluation,not_started,5,A
learner_6,atlas,standard-mathematical-functions,not_started,6,A
learner_6,atlas,defining-and-using-functions,confused,7,A
learner_6,atlas,local-and-global-scope,mastered,8,A
learner_6,atlas,keyword-arguments-and-defaults,not_started,9,A
learner_6,atlas,boolean-expressions,not_started,10,A
learner_6,atlas,loops-in-python,mastered,11,B
learner_6,atlas,the-while-loop,not_started,12,A
learner_6,atlas,lists-in-python,mastered,13,A
learner_6,atlas,for-loops-and-list-iteration,confused,14,A
learner_6,atlas,list-comprehensions,not_started,15,A
