learner_id,tutoring_type,concept_id,prior_level,question_number,choice
learner_4,no_tutoring,programming-mathematical-formulas,not_started,1,C
learner_4,no_tutoring,variables-and-naming-rules,confused,2,B
learner_4,no_tutoring,code-comments-in-python,mastered,3,A
learner_4,no_tutoring,formatted-output-in-python,not_started,4,B
learner_4,no_tutoring,arithmetic-expression-evaluation,not_started,5,B
learner_4,no_tutoring,standard-mathematical-functions,confused,6,B
learner_4,no_tutoring,defining-and-using-functions,mastered,7,A
learner_4,no_tutoring,local-and-global-scope,confused,8,B
learner_4,no_tutoring,keyword-arguments-and-defaults,mastered,9,E
learner_4,no_tutoring,boolean-expressions,not_started,10,B
learner_4,no_tutoring,loops-in-python,not_started,11,A
learner_4,no_tutoring,the-while-loop,mastered,12,A
learner_4,no_tutoring,lists-in-python,confused,13,E
learner_4,no_tutoring,for-loops-and-list-iteration,not_started,14,B
learner_4,no_tutoring,list-comprehensions,not_started,15,B
learner_4,vanilla,programming-mathematical-formulas,not_started,1,A
learner_4,vanilla,variables-and-naming-rules,confused,2,A
learner_4,vanilla,code-comments-in-python,mastered,3,A
learner_4,vanilla,formatted-output-in-python,not_started,4,A
learner_4,vanilla,arithmetic-expression-evaluation,not_started,5,B
learner_4,vanilla,standard-mathematical-functions,confused,6,A
learner_4,vanilla,defining-and-using-functions,mastered,7,A
learner_4,vanilla,local-and-global-scope,confused,8,A
learner_4,vanilla,keyword-arguments-and-defaults,mastered,9,A
learner_4,vanilla,boolean-expressions,not_started,10,A
learner_4,vanilla,loops-in-python,not_started,11,B
learner_4,vanilla,the-while-loop,mastered,12,A
learner_4,vanilla,lists-in-python,confused,13,A
learner_4,vanilla,for-loops-and-list-iteration,not_started,14,B
learner_4,vanilla,list-comprehensions,not_started,15,A
learner_4,atlas,programming-mathematical-formulas,not_started,1,A
learner_4,atlas,variables-and-naming-rules,confused,2,A
learner_4,atlas,code-comments-in-python,mastered,3,A
learner_4,atlas,formatted-output-in-python,not_started,4,A
learner_4,atlas,arithmetic-expression-evaluation,not_started,5,A
learner_4,atlas,standard-mathematical-functions,confused,6,A
learner_4,atlas,defining-and-using-functions,mastered,7,A
learner_4,atlas,local-and-global-scope,confused,8,A
learner_4,atlas,keyword-arguments-and-defaults,mastered,9,A
learner_4,atlas,boolean-expressions,not_started,10,A
learner_4,atlas,loops-in-python,not_started,11,A
learner_4,atlas,the-while-loop,mastered,12,A
learner_4,atlas,lists-in-python,confused,13,C
learner_4,atlas,for-loops-and-list-iteration,not_started,14,B
learner_4,atlas,list-comprehensions,not_started,15,A
