learner_id,tutoring_type,concept_id,prior_level,question_number,choice
learner_1,no_tutoring,programming-mathematical-formulas,not_started,1,B
learner_1,no_tutoring,variables-and-naming-rules,mastered,2,A
learner_1,no_tutoring,code-comments-in-python,not_started,3,B
learner_1,no_tutoring,formatted-output-in-python,not_started,4,B
learner_1,no_tutoring,arithmetic-expression-evaluation,not_started,5,B
learner_1,no_tutoring,standard-mathematical-functions,confused,6,D
learner_1,no_tutoring,defining-and-using-functions,confused,7,E
learner_1,no_tutoring,local-and-global-scope,confused,8,B
learner_1,no_tutoring,keyword-arguments-and-defaults,not_started,9,B
learner_1,no_tutoring,boolean-expressions,confused,10,B
learner_1,no_tutoring,loops-in-python,confused,11,B
learner_1,no_tutoring,the-while-loop,confused,12,C
learner_1,no_tutoring,lists-in-python,not_started,13,A
learner_1,no_tutoring,for-loops-and-list-iteration,confused,14,B
learner_1,no_tutoring,list-comprehensions,not_started,15,B
learner_1,vanilla,programming-mathematical-formulas,not_started,1,A
learner_1,vanilla,variables-and-naming-rules,mastered,2,A
learner_1,vanilla,code-comments-in-python,not_started,3,A
learner_1,vanilla,formatted-output-in-python,not_started,4,A
learner_1,vanilla,arithmetic-expression-evaluation,not_started,5,A
learner_1,vanilla,standard-mathematical-functions,confused,6,E
learner_1,vanilla,defining-and-using-functions,confused,7,A
learner_1,vanilla,local-and-global-scope,confused,8,A
learner_1,vanilla,keyword-arguments-and-defaults,not_started,9,A
learner_1,vanilla,boolean-expressions,confused,10,A
learner_1,vanilla,loops-in-python,confused,11,A
learner_1,vanilla,the-while-loop,confused,12,C
learner_1,vanilla,lists-in-python,not_started,13,A
learner_1,vanilla,for-loops-and-list-iteration,confused,14,A
learner_1,vanilla,list-comprehensions,not_started,15,A
learner_1,atlas,programming-mathematical-formulas,not_started,1,A
learner_1,atlas,variables-and-naming-rules,mastered,2,A
learner_1,atlas,code-comments-in-python,not_started,3,A
learner_1,atlas,formatted-output-in-python,not_started,4,A
learner_1,atlas,arithmetic-expression-evaluation,not_started,5,A
learner_1,atlas,standard-mathematical-functions,confused,6,A
learner_1,atlas,defining-and-using-functions,confused,7,A
learner_1,atlas,local-and-global-scope,confused,8,A
learner_1,atlas,keyword-arguments-and-defaults,not_started,9,A
learner_1,atlas,boolean-expressions,confused,10,A
learner_1,atlas,loops-in-python,confused,11,A
learner_1,atlas,the-while-loop,confused,12,A
learner_1,atlas,lists-in-python,not_started,13,A
learner_1,atlas,for-loops-and-list-iteration,confused,14,B
learner_1,atlas,list-comprehensions,not_started,15,A
