learner_id,tutoring_type,concept_id,prior_level,question_number,choice
learner_7,no_tutoring,programming-mathematical-formulas,not_started,1,B
learner_7,no_tutoring,variables-and-naming-rules,mastered,2,A
learner_7,no_tutoring,code-comments-in-python,not_started,3,E
learner_7,no_tutoring,formatted-output-in-python,mastered,4,A
learner_7,no_tutoring,arithmetic-expression-evaluation,mastered,5,A
learner_7,no_tutoring,standard-mathematical-functions,not_started,6,A
learner_7,no_tutoring,defining-and-using-functions,mastered,7,A
learner_7,no_tutoring,local-and-global-scope,mastered,8,A
learner_7,no_tutoring,keyword-arguments-and-defaults,not_started,9,B
learner_7,no_tutoring,boolean-expressions,not_started,10,B
learner_7,no_tutoring,loops-in-python,not_started,11,B
learner_7,no_tutoring,the-while-loop,mastered,12,A
learner_7,no_tutoring,lists-in-python,mastered,13,A
learner_7,no_tutoring,for-loops-and-list-iteration,confused,14,C
learner_7,no_tutoring,list-comprehensions,not_started,15,B
learner_7,vanilla,programming-mathematical-formulas,not_started,1,A
learner_7,vanilla,variables-and-naming-rules,mastered,2,A
learner_7,vanilla,code-comments-in-python,not_started,3,A
learner_7,vanilla,formatted-output-in-python,mastered,4,A
learner_7,vanilla,arithmetic-expression-evaluation,mastered,5,A
learner_7,vanilla,standard-mathematical-functions,not_started,6,A
learner_7,vanilla,defining-and-using-functions,mastered,7,A
learner_7,vanilla,local-and-global-scope,mastered,8,A
learner_7,vanilla,keyword-arguments-and-defaults,not_started,9,E
learner_7,vanilla,boolean-expressions,not_started,10,A
learner_7,vanilla,loops-in-python,not_started,11,A
learner_7,vanilla,the-while-loop,mastered,12,A
learner_7,vanilla,lists-in-python,mastered,13,A
learner_7,vanilla,for-loops-and-list-iteration,confused,14,C
learner_7,vanilla,list-comprehensions,not_started,15,B
learner_7,atlas,programming-mathematical-formulas,not_started,1,A
learner_7,atlas,variables-and-naming-rules,mastered,2,A
learner_7,atlas,code-comments-in-python,not_started,3,A
learner_7,atlas,formatted-output-in-python,mastered,4,A
learner_7,atlas,arithmetic-expression-evaluation,mastered,5,A
learner_7,atlas,standard-mathematical-functions,not_started,6,A
learner_7,atlas,defining-and-using-functions,mastered,7,A
learner_7,atlas,local-and-global-scope,mastered,8,A
learner_7,atlas,keyword-arguments-and-defaults,not_started,9,A
learner_7,atlas,boolean-expressions,not_started,10,A
learner_7,atlas,loops-in-python,not_started,11,B
learner_7,atlas,the-while-loop,mastered,12,A
learner_7,atlas,lists-in-python,mastered,13,A
learner_7,atlas,for-loops-and-list-iteration,confused,14,A
learner_7,atlas,list-comprehensions,not_started,15,A
